Current Area and City of Residence? ,A brief about you and your interests? ,Which of the following will best describe your current profession? ,Your startup/expertise lies in which of the following industries? (Try to be as specific as possible),What is your domain of expertise? (Try to be as specific as possible),Stage of your startup/Employer? ,Any specific connect you are currently seeking? ,Why are you seeking the above mentioned Connect? ,How do you think you can help other pushstarters? 
Hyderabad,14 years in the area of Taken Acquisition and resource management for large corporates.  Want to network with upcoming start up,Working Professional,"Agri Tech, Fin Tech, Health Tech, AI, Blockchain",Operations,Don't have a startup,,None,Help them and guide them in attracting and managing talent
BENGALURU,Startup pitches,"Post-Graduate Student, Working Professional",Embedded and vlsi,Product Development,Ideation (brainstorming around few ideas),,How to build ideas ane contacts,Passing on a few tips
Magarpatta city,I m a designer ....,Designer,Fashion industry,Designing,Don't have a startup,,I want yo increase my business so i m looking for gud tailors,By giving information
Delhi NCR,"Management Consultant (consulting and advisory). My primary work involves business transformation, ERP implementations, technology advisory and audits.
The reason to join this group, I have invested and kick started a few start ups that were either sold and ended with learning experiences. Currently pursuing health care product development.","Startup Founder(Product-based), Startup Founder (Service-based), Working Professional","Health Tech, AI",Product Development,"Sold one company, on to another",,"Looking to connect with others in the start up community, seek their services for own purpose and invest if find an idea interesting",Mentor
"Jayanagar, Bangalore ","Hey push starters,
Thank you for adding me to the group. 😊

I'm currently working as a content and community manager at Clip India.
I first started up at 18 and the learning curve has been super steep ever since. 

I love discussing ideas and I'm a huge fan of building communities.
Pushstart is one such community that I greatly admire.
Thank you for adding me to the group. Feels good to be connected :)",Working Professional,Blockchain,"Sales, Product Development, Community building",Ideation (brainstorming around few ideas),,Networking ,I'm extremely good at strategizing and working over business models. I can also consult startups to help their sales. 
Pune,Engineering Leader with 18+ years of experience. Co-founder of SpryIQ Technologies Pvt. Ltd. Connecting with people and building relationships excites me along with trying my hands on new technologies. ,Startup Founder (Service-based),"Cloud, Storage, Virtualization, Automation, Python, etc",Product Development,"Growth (multiple customer, positive revenue, making profits)",pushtalent,"Seeking talent for current openings in .NET, Java, Automation, Python, Selenium, Cloud, DevOps, etc","Can provide our expertise and help folks move seamlessly to cloud, automate end to end devops, design infra to meet the SLAs and compliance needs.  "
Mumbai ,Coworking Space Founder/ Life Coach/ C Level Recruiter,Startup Founder (Service-based),Business Centre / Human Resources,"Sales, Community building, Human Fulfilment","Have 2 locations - fully functioned, not looking for funding  ",,Member refs for our space  / Events/ ,I have a huge network in the startup  community and can help with references
Powai mumbai,"Startup , software , community building , Indian eco system",Startup Founder(Product-based),"AI, Fashion n beauty","Product Development, Digital Marketing, Community building",Early Traction,,"Community buildings
Recruitment 
Growth tactics ",Collective wisdom 
Mumbai,Wellness fitness  / Business mentoring / life style coach,"Working Professional, Freelancer, PVT ltd freelancing service based","Health Tech, Food Tech, AI","Operations, Sales, Product Development, Product Design, Digital Marketing, Community building",Don't have a startup,,network with local city people &  create something more.,Can offer my services photography/ Videography/ yoga & meditation workshops 
Agra,Currently i'm doing my undergraduate in NIT Jalandhar. Working on my Ed-tech startup ideas from last 6 months having 40+ member team and invested some amount. Want to learn more and interact with like minded people. ,"Under-Graduate Student, Startup Founder(Product-based)",Ed Tech,Community building,Early Traction,,Want to learn as much as possible. Because i'm in new in this field and want to live my life as an entrepreneur. ,"Presnetly i'm learning from many sites, social networks and i'm beginner in this field. Once i will be eligible i'll help other pushtarters because i love sharing and conveniencing the peoples"
Bangalore,"Living to make an Impact, Impact and Impact.","Startup Founder(Product-based), Startup Founder (Service-based)","Media and Advertising, Web Development, Entertainment, Media","Sales, Product Development, Product Design","Growth (multiple customer, positive revenue, making profits)",,Growth Hacking,"With my experience in diverse set of industries and exposure, Product Development and Gaining traction."
Pune,"Cloud Computing, Networking",Startup Founder (Service-based),"Consumer internet, Saas","Operations, Product Development","Growth (multiple customer, positive revenue, making profits)",pushtalent & pushconnect,"Recruitment, new business ","For growing business, finding right resources."
Mumbai,"Smart Tech, smart speakers, AI, Electronics","Post-Graduate Student, Startup Founder(Product-based), Working Professional","IOT, Robotics","Product Design, Digital Marketing",MVP (proof of concept is out with select customers),,Developing a team with embedded android developers," marketing consultation, Investor contacts, Technology consultation"
Mumbai,Go-Giving Enthusiast + HR Tech Startup Founder campaigning for a million responses between Employers & Candidates to improve hiring effectiveness in India.,"Startup Founder(Product-based), Startup Founder (Service-based)","Saas, HR Tech","Product Development, Product Design, Community building, Product Design, Project Management, Product Management, Program Management, Partnerships, Branding, Content Creation, HR",Product (Have a fully-functional Product),,"1) User growth
2) Product growth
3) Partnerships","1) AMA interactions - Talent & Careers
2) Brainstorming discussions - Idea-stage & Early-stage Startups"
Delhi,"A creativity loving person, driven towards novel experiences. I get attracted to new ideas every once in a while, and curiosity to learn and pursue then takes over.",Freelancer,Design,Design,"Sold one company, on to another",,Design projects,Design consulting
PUNE,An entrepreneur on a journey to create great food brands,"Startup Founder(Product-based), Startup Founder (Service-based)",consumer ,"Operations, Sales, Product Development, Product Design, Product Design, Product Management, Business Development, Branding","Growth (multiple customer, positive revenue, making profits)",food business investor,help in raising funds to expand my business,i can mentor in consumer space
Navi Mumbai,"Diploma dropout, I am interested in building an empire of startups(optimistic), what interest me is operating,developing and creating own business ideas with little help from outside.","Startup Founder(Product-based), Startup Founder (Service-based), Entrepreneur","Web Development, E-commerce, Entertainment, Media, App based business","Operations, Sales, Project Management, Product Management, Research and Development, Marketing",Product (Have a fully-functional Product),,"Networking, efficient team",Mentor
Mumbai,Business Development+ International Sales+ Online Marketing,Freelancer,E-commerce,"Sales, Product Design, Digital Marketing, Product Design, Business Development",Early Traction,,Networking & Business ,Freelance Business development 
