,About your interest,Briefs and Interests,Stage of your startup/Employer?,Specific Connect,Reason for specific connect,Helping for others,area,city,expertise0,expertise1,expertise2,expertise3,expertise4,startup1,startup2,startup3,startup4,startup5,startup6,startup7,startup8,startup9
393,i am passionate entrepreneur and like to meet new people and learn from them,Under-Graduate Student,Early Growth (seeking seed/angel funding),,Developing the Business,Helping them with my network and resources.,Bavdhan ,Pune,Community building,,,,,VR,,,,,,,,
394,founder at vezado  serial entrepreneur  corporate innovation  startup investor  startup mentor  influencer,"Startup Founder (Service-based), Mentor, VC",Investor / Startup,,No,Yes,Mumbai,,Operations, Sales, Product Development, Product Design," Digital Marketing, Community building",Agri Tech, Fin Tech, Health Tech, Food Tech, VR, AR, AI, Blockchain,
395,investment banker angel investor,"Angel Investor, VC",Don't have a startup,,Looking for good startups to invest,"Mentoring, funding and Fund Raise",Mumbai,,Finance and Fund Raising,,,,,Agri Tech, Fin Tech, Health Tech, Food Tech, AI, Blockchain,,,
396,entrepreneur skilling student community ad agency like to know more people and explore ideas love to work with diverse people and collaborate,"Startup Founder(Product-based), Startup Founder (Service-based)",Early Growth (seeking seed/angel funding),,Growth and Scaling of Startup /Business,"Share experience, help connect people",Gurgaon,,Operations, Sales, Digital Marketing, Community building,,Skilling, Marketing Agency,,,,,,,
397,i am independany working as hr consultant also associated with one of us based global hr consultancy amy thing of human resource can be prescribed as my interest,"Working Professional, Freelancer",Don't have a startup,,No,I can help people by solving sny issues of Human resources and related systems/policies,Malad East, Mumbai,Human Resource,,,,,Human Resource,,,,,,,,
398,working with passionate people in the field of ai,"Startup Founder(Product-based), Startup Founder (Service-based)",Early Growth (seeking seed/angel funding),,Recruitment,Mentorship in the field of A.I.,Pune, Pimple Saudagar,Operations, Product Development, Product Design,,,Fin Tech, VR, AR, AI, Computer Vision, Embedded devices, Game theory,,
399,creative technologist entrepreneur ux researcher and designer design innovator  value innovator  product guy other interests political philosophy ancient history society anthropology physics and space music lover play piano and guitar lead a college band cricket player and lover played club cricket for 6 years and captained college cricket team artist charcoal painter make lifelike charcoal paintings,Startup Founder(Product-based),"Growth (multiple customer, positive revenue, making profits)",,Hiring for Senior Android devs and Full stack engineers,"I can help in UX Design and Research, Product design, and Since I've raised funds, I can guide startups in raising angel/seed round",Bangalore,,Product Design,,,,,Natural User Interfaces,,,,,,,,
400,14 years in the area of taken acquisition and resource management for large corporates want to network with upcoming start up,Working Professional,Don't have a startup,,None,Help them and guide them in attracting and managing talent,Hyderabad,,Operations,,,,,Agri Tech, Fin Tech, Health Tech, AI, Blockchain,,,,
401,startup pitches,"Post-Graduate Student, Working Professional",Ideation (brainstorming around few ideas),,How to build ideas ane contacts,Passing on a few tips,BENGALURU,,Product Development,,,,,Embedded and vlsi,,,,,,,,
402,i m a designer ,Designer,Don't have a startup,,I want yo increase my business so i m looking for gud tailors,By giving information,Magarpatta city,,Designing,,,,,Fashion industry,,,,,,,,
403,management consultant consulting and advisory my primary work involves business transformation erp implementations technology advisory and audits the reason to join this group i have invested and kick started a few start ups that were either sold and ended with learning experiences currently pursuing health care product development,"Startup Founder(Product-based), Startup Founder (Service-based), Working Professional","Sold one company, on to another",,"Looking to connect with others in the start up community, seek their services for own purpose and invest if find an idea interesting",Mentor,Delhi NCR,,Product Development,,,,,Health Tech, AI,,,,,,,
404,hey push starters thank you for adding me to the group  im currently working as a content and community manager at clip india i first started up at 18 and the learning curve has been super steep ever since i love discussing ideas and im a huge fan of building communities pushstart is one such community that i greatly admire thank you for adding me to the group feels good to be connected ,Working Professional,Ideation (brainstorming around few ideas),,Networking ,I'm extremely good at strategizing and working over business models. I can also consult startups to help their sales. ,Jayanagar, Bangalore ,Sales, Product Development, Community building,,,Blockchain,,,,,,,,
405,engineering leader with 18 years of experience cofounder of spryiq technologies pvt ltd connecting with people and building relationships excites me along with trying my hands on new technologies,Startup Founder (Service-based),"Growth (multiple customer, positive revenue, making profits)",pushtalent,"Seeking talent for current openings in .NET, Java, Automation, Python, Selenium, Cloud, DevOps, etc","Can provide our expertise and help folks move seamlessly to cloud, automate end to end devops, design infra to meet the SLAs and compliance needs.  ",Pune,,Product Development,,,,,Cloud, Storage, Virtualization, Automation, Python, etc,,,
406,coworking space founder life coach c level recruiter,Startup Founder (Service-based),"Have 2 locations - fully functioned, not looking for funding  ",,Member refs for our space  / Events/ ,I have a huge network in the startup  community and can help with references,Mumbai ,,Sales, Community building, Human Fulfilment,,,Business Centre / Human Resources,,,,,,,,
407,startup  software  community building  indian eco system,Startup Founder(Product-based),Early Traction,,"Community buildings
Recruitment 
Growth tactics ",Collective wisdom ,Powai mumbai,,Product Development, Digital Marketing, Community building,,,AI, Fashion n beauty,,,,,,,
408,wellness fitness  business mentoring  life style coach,"Working Professional, Freelancer, PVT ltd freelancing service based",Don't have a startup,,network with local city people &  create something more.,Can offer my services photography/ Videography/ yoga & meditation workshops ,Mumbai,,Operations, Sales, Product Development, Product Design," Digital Marketing, Community building",Health Tech, Food Tech, AI,,,,,,
